DATE,PAYNSA
1984-01-01,91374
1984-02-01,91940
1984-03-01,92659
1984-04-01,93614
1984-05-01,94489
1984-06-01,95305
1984-07-01,94607
1984-08-01,94888
1984-09-01,95808
1984-10-01,96362
1984-11-01,96738
1984-12-01,96793
1985-01-01,95049
1985-02-01,95259
1985-03-01,96055
1985-04-01,96875
1985-05-01,97726
1985-06-01,98279
1985-07-01,97418
1985-08-01,97667
1985-09-01,98476
1985-10-01,98987
1985-11-01,99240
1985-12-01,99356
1986-01-01,97397
1986-02-01,97590
1986-03-01,98138
1986-04-01,98973
1986-05-01,99667
1986-06-01,99973
1986-07-01,99219
1986-08-01,99393
1986-09-01,100317
1986-10-01,100886
1986-11-01,101141
1986-12-01,101300
1987-01-01,99334
1987-02-01,99657
1987-03-01,100367
1987-04-01,101369
1987-05-01,102135
1987-06-01,102742
1987-07-01,101990
1987-08-01,102219
1987-09-01,102986
1987-10-01,103893
1987-11-01,104232
1987-12-01,104472
1988-01-01,102380
1988-02-01,102951
1988-03-01,103693
1988-04-01,104587
1988-05-01,105347
1988-06-01,106208
1988-07-01,105315
1988-08-01,105477
1988-09-01,106341
1988-10-01,107013
1988-11-01,107500
1988-12-01,107722
1989-01-01,105743
1989-02-01,106170
1989-03-01,106813
1989-04-01,107611
1989-05-01,108294
1989-06-01,108937
1989-07-01,107848
1989-08-01,107927
1989-09-01,108724
1989-10-01,109217
1989-11-01,109657
1989-12-01,109666
1990-01-01,107573
1990-02-01,108069
1990-03-01,108724
1990-04-01,109365
1990-05-01,110270
1990-06-01,110837
1990-07-01,109568
1990-08-01,109450
1990-09-01,110045
1990-10-01,110242
1990-11-01,110205
1990-12-01,109976
1991-01-01,107426
1991-02-01,107394
1991-03-01,107683
1991-04-01,108072
1991-05-01,108754
1991-06-01,109235
1991-07-01,108033
1991-08-01,108125
1991-09-01,108842
1991-10-01,109212
1991-11-01,109229
1991-12-01,109113
1992-01-01,106726
1992-02-01,106979
1992-03-01,107498
1992-04-01,108333
1992-05-01,109140
1992-06-01,109629
1992-07-01,108611
1992-08-01,108667
1992-09-01,109452
1992-10-01,110039
1992-11-01,110280
1992-12-01,110269
1993-01-01,108103
1993-02-01,108706
1993-03-01,109140
1993-04-01,110144
1993-05-01,111107
1993-06-01,111698
1993-07-01,110829
1993-08-01,110940
1993-09-01,111929
1993-10-01,112596
1993-11-01,112939
1993-12-01,113089
1994-01-01,110839
1994-02-01,111419
1994-03-01,112394
1994-04-01,113474
1994-05-01,114486
1994-06-01,115276
1994-07-01,114331
1994-08-01,114639
1994-09-01,115699
1994-10-01,116324
1994-11-01,116932
1994-12-01,116970
1995-01-01,114662
1995-02-01,115320
1995-03-01,116076
1995-04-01,116909
1995-05-01,117632
1995-06-01,118348
1995-07-01,117113
1995-08-01,117377
1995-09-01,118292
1995-10-01,118893
1995-11-01,119132
1995-12-01,119130
1996-01-01,116431
1996-02-01,117370
1996-03-01,118175
1996-04-01,119013
1996-05-01,120140
1996-06-01,120804
1996-07-01,119767
1996-08-01,120059
1996-09-01,120804
1996-10-01,121524
1996-11-01,121984
1996-12-01,121963
1997-01-01,119421
1997-02-01,120282
1997-03-01,121165
1997-04-01,122140
1997-05-01,123221
1997-06-01,123870
1997-07-01,122886
1997-08-01,122954
1997-09-01,123958
1997-10-01,124861
1997-11-01,125255
1997-12-01,125393
1998-01-01,122842
1998-02-01,123618
1998-03-01,124341
1998-04-01,125382
1998-05-01,126466
1998-06-01,127129
1998-07-01,126057
1998-08-01,126299
1998-09-01,127108
1998-10-01,127887
1998-11-01,128290
1998-12-01,128459
1999-01-01,125708
1999-02-01,126696
1999-03-01,127409
1999-04-01,128555
1999-05-01,129423
1999-06-01,130150
1999-07-01,129280
1999-08-01,129336
1999-09-01,130114
1999-10-01,131049
1999-11-01,131510
1999-12-01,131646
2000-01-01,129005
2000-02-01,129667
2000-03-01,130764
2000-04-01,131762
2000-05-01,132718
2000-06-01,133230
2000-07-01,132011
2000-08-01,132023
2000-09-01,132690
2000-10-01,133249
2000-11-01,133614
2000-12-01,133555
2001-01-01,130681
2001-02-01,131348
2001-03-01,131942
2001-04-01,132349
2001-05-01,133056
2001-06-01,133435
2001-07-01,131946
2001-08-01,131876
2001-09-01,132142
2001-10-01,132344
2001-11-01,132155
2001-12-01,131773
2002-01-01,128890
2002-02-01,129362
2002-03-01,129969
2002-04-01,130558
2002-05-01,131329
2002-06-01,131711
2002-07-01,130270
2002-08-01,130356
2002-09-01,130875
2002-10-01,131546
2002-11-01,131667
2002-12-01,131259
2003-01-01,128577
2003-02-01,128994
2003-03-01,129490
2003-04-01,130148
2003-05-01,130909
2003-06-01,131239
2003-07-01,129899
2003-08-01,129953
2003-09-01,130608
2003-10-01,131401
2003-11-01,131565
2003-12-01,131385
2004-01-01,128726
2004-02-01,129337
2004-03-01,130378
2004-04-01,131494
2004-05-01,132397
2004-06-01,132843
2004-07-01,131682
2004-08-01,131702
2004-09-01,132417
2004-10-01,133398
2004-11-01,133649
2004-12-01,133418
2005-01-01,130713
2005-02-01,131536
2005-03-01,132376
2005-04-01,133589
2005-05-01,134402
2005-06-01,135071
2005-07-01,134011
2005-08-01,134261
2005-09-01,134889
2005-10-01,135617
2005-11-01,136174
2005-12-01,135973
2006-01-01,133320
2006-02-01,134245
2006-03-01,135226
2006-04-01,136140
2006-05-01,136946
2006-06-01,137449
2006-07-01,136273
2006-08-01,136479
2006-09-01,137149
2006-10-01,137849
2006-11-01,138234
2006-12-01,138124
2007-01-01,135334
2007-02-01,136026
2007-03-01,136923
2007-04-01,137730
2007-05-01,138673
2007-06-01,139175
2007-07-01,137778
2007-08-01,137890
2007-09-01,138455
2007-10-01,139198
2007-11-01,139510
2007-12-01,139297
2008-01-01,136268
2008-02-01,136787
2008-03-01,137378
2008-04-01,137914
2008-05-01,138488
2008-06-01,138682
2008-07-01,137203
2008-08-01,137094
2008-09-01,137148
2008-10-01,137442
2008-11-01,136761
2008-12-01,135732
2009-01-01,132042
2009-02-01,131808
2009-03-01,131675
2009-04-01,131859
2009-05-01,132132
2009-06-01,131950
2009-07-01,130353
2009-08-01,130231
2009-09-01,130589
2009-10-01,131188
2009-11-01,131236
2009-12-01,130690
2010-01-01,127820
2010-02-01,128255
2010-03-01,129089
2010-04-01,130212
2010-05-01,131330
2010-06-01,131448
2010-07-01,130111
2010-08-01,130175
2010-09-01,130669
2010-10-01,131641
2010-11-01,131947
2010-12-01,131641
2011-01-01,128778
2011-02-01,129592
2011-03-01,130499
2011-04-01,131715
2011-05-01,132399
2011-06-01,132889
2011-07-01,131615
2011-08-01,131890
2011-09-01,132636
2011-10-01,133558
2011-11-01,133893
2011-12-01,133718
2012-01-01,131113
2012-02-01,132067
2012-03-01,132971
2012-04-01,133854
2012-05-01,134667
2012-06-01,135005
2012-07-01,133795
2012-08-01,134175
2012-09-01,134802
2012-10-01,135649
2012-11-01,136039
2012-12-01,135964
2013-01-01,133081
2013-02-01,134120
2013-03-01,134918
2013-04-01,135923
2013-05-01,136816
2013-06-01,137226
2013-07-01,136052
2013-08-01,136488
2013-09-01,137096
2013-10-01,138019
2013-11-01,138543
2013-12-01,138292
2014-01-01,135488
2014-02-01,136229
2014-03-01,137187
2014-04-01,138325
2014-05-01,139237
2014-06-01,139824
2014-07-01,138745
2014-08-01,139125
2014-09-01,139812
2014-10-01,140866
2014-11-01,141331
2014-12-01,141326
2015-01-01,138511
2015-02-01,139343
2015-03-01,140099
2015-04-01,141283
2015-05-01,142224
2015-06-01,142700
2015-07-01,141747
2015-08-01,141939
2015-09-01,142497
2015-10-01,143645
2015-11-01,144066
2015-12-01,144063
2016-01-01,141088
2016-02-01,141919
2016-03-01,142814
2016-04-01,143909
2016-05-01,144557
2016-06-01,145222
2016-07-01,144248
2016-08-01,144502
2016-09-01,145168
2016-10-01,146049
2016-11-01,146482
2016-12-01,146270
2017-01-01,143393
2017-02-01,144423
2017-03-01,145078
2017-04-01,146101
2017-05-01,146937
2017-06-01,147578
2017-07-01,146486
2017-08-01,146801
2017-09-01,147177
2017-10-01,148203
2017-11-01,148783
2017-12-01,148530
2018-01-01,145435
2018-02-01,146667
2018-03-01,147332
